id,1,2,3,4
942,555,1250,2099,1776
555,942,1776,7768,3310
2099,1250,942,647,555
1817,3667,3512,3228,3477
3667,1817,555,1776,8026
3310,8865,1776,7696,3309
3362,3390,1776,7698,6818
3512,3477,5662,5980,5622
101,7698,5611,3749,8720
5622,3477,501,5735,7700
3477,501,5622,3474,3512
5701,5622,6355,7696,3477
3228,3309,7696,3477,3512
4773,2549,3749,843,8026
734,464,5655,3621,8720
1109,5595,6026,4105,531
3309,7696,8865,3477,3228
3799,7490,5786,5980,5556
6355,501,5622,4402,5735
464,734,2549,6894,8720
1524,318,501,986,5786
3390,2335,3295,750,5733
5662,5980,6894,777,3799
3474,6021,772,501,757
3749,6552,7698,2549,5733
5677,6239,3770,6500,9284
5980,4402,3460,5800,3799
536,4773,1791,6264,3749
2549,3749,3366,239,7698
4402,5980,5800,3460,5735
5733,2335,152,5956,3293
387,6021,3347,7083,3223
777,1581,5662,501,6894
3526,3561,3549,2549,3749
3530,3277,986,6894,672
3549,5619,3495,3561,9739
3561,3549,6012,5655,3495
3568,3229,3215,1932,3346
3795,5800,5786,3344,2057
695,6601,558,8239,553
5800,3795,2057,3460,656
6012,3549,3561,5556,7490
152,5733,3291,605,3293
967,3298,3566,585,712
3211,1017,65,672,4768
3295,3568,6063,775,3390
3300,8327,8300,5682,2662
3346,4381,8718,772,3347
3347,6021,5560,6122,7083
3424,574,3202,3408,656
3460,2057,5800,3795,656
5655,3549,3561,6011,6012
5680,3339,3298,3393,7236
6552,3749,6894,5733,7700
5964,3460,3479,1581,3473
5979,3460,3795,3724,5651
1581,3473,5964,3513,3344
1800,2412,3488,7690,6047
3294,822,4422,6477,5555
3223,3347,1123,6021,5560
3257,1071,3593,1707,3581
3260,813,3410,5735,4422
3339,7187,6019,3298,6006
3410,813,3511,770,656
3412,7723,3339,6019,8718
3438,3495,5967,6008,3514
3473,3479,1581,3513,3460
3475,6049,2621,966,3276
3574,3445,500,3473,1017
3713,3473,3479,8150,6063
5611,5992,6894,8300,620
5651,6308,7069,3795,3233
5705,4403,5663,3230,753
5715,5676,3460,3513,3795
5975,8716,3440,6011,669
5983,3438,5967,3424,3533
5992,5611,672,6894,6630
6011,5975,3549,5655,8716
6019,3339,9734,5704,7187
6021,7083,3347,772,1726
312,581,6996,8816,3488
656,2057,3344,484,3795
2057,5676,3344,5988,9339
3215,3620,3566,486,596
3256,1711,5619,6061,10172
3276,775,488,535,8934
3279,5959,2374,8816,7690
3298,5647,6893,967,3339
3340,3519,7470,6281,6485
3425,5733,2254,3293,6691
3479,6063,3473,5676,5651
3488,312,581,6996,6047
3490,3346,3366,3527,239
3495,5619,3438,6008,3549
3507,3546,3205,4768,5996
3513,6893,757,672,3795
3581,6017,1707,3593,8816
3583,3563,3620,3215,3229
3694,4345,7690,6996,9678
3740,5963,3316,5618,804
3745,6734,1785,5991,3334
4768,3696,5996,966,4403
4855,6059,3413,5982,5967
5704,7470,7236,6019,3334
5740,5736,5988,6128,6279
5988,2057,5736,6238,5676
6059,4855,5982,3413,5967
6433,579,2245,586,200
810,486,876,3229,558
861,5692,6063,1932,8718
1288,204,3288,5609,605
1932,496,596,3275,971
1933,5708,3373,1633,3486
2083,3325,2855,3207,712
2412,1800,3689,3271,3488
3202,3424,5983,656,743
3207,1545,712,496,5654
3229,3515,7069,462,592
3230,6841,8020,5757,3445
5708,902,3373,5987,7990
3291,605,6108,152,343
3292,1123,697,769,1687
3308,3273,533,2083,3563
3334,2509,9681,496,1785
3338,8816,4744,581,766
3344,2057,5676,3795,656
3366,3393,3490,3412,7723
3370,5973,5635,5568,1719
3372,1876,5667,3626,2374
3417,3227,3421,1876,712
5681,5682,6762,6857,558
3431,2509,3334,1545,5043
3440,5975,3256,5725,5619
3445,1014,3574,500,3230
3470,3373,3550,7332,3486
3493,7069,3263,6542,5702
3533,6001,743,5982,3525
3560,3741,669,8323,3514
3563,3620,3215,3583,2083
3593,3581,3316,3257,5618
3673,9739,5619,3549,3495
3674,2083,3694,3432,9677
3724,2855,3207,5979,3255
3741,669,5619,3495,3560
3770,6239,3510,5677,3494
4345,3694,9678,7689,6047
5617,5667,3618,3372,1876
5618,985,5963,6013,3316
5661,7420,6382,7695,6523
5663,8497,5757,6841,5705
5666,7376,6252,6293,5658
5702,4932,6238,9912,6251
5712,985,1749,7689,6249
5725,3668,1711,5987,902
5736,6332,6601,9912,6396
5963,3740,5618,769,3207
5973,3214,1719,5635,3504
5986,3316,1707,4744,3338
6007,853,934,5648,5689
6010,1084,3475,2163,9679
6017,9733,1749,3581,6252
6058,5732,5568,5692,5668
6112,6239,6500,5609,5677
6232,3432,3408,6542,3493
6238,9912,5702,5736,6332
6239,9284,3770,6112,5677
6264,2549,3749,3366,239
6281,712,980,1545,7693
6308,5651,7069,3515,6018
6395,6370,6279,6128,3478
6396,6332,4805,5736,10036
92,5647,5615,3399,6058
739,3229,6274,3620,3215
961,5647,3393,5615,1545
980,6281,3566,1545,876
1071,1707,3257,5986,7690
1298,7753,1683,847,5658
1633,3227,603,1545,887
1876,2374,3022,5667,3272
2374,1876,5667,3272,2855
2509,3334,508,1545,603
2621,10405,3696,1042,966
2855,2374,1876,3206,5667
3022,1876,3622,2374,3272
3205,3507,3546,3504,3214
3206,6027,3809,7991,496
3214,3504,5973,1719,3205
3219,3622,3227,603,6027
3227,3219,3622,1633,3233
3233,3622,3227,6891,5568
3255,5689,5755,6067,3622
3263,7069,695,3493,6542
3271,3417,3421,3338,5959
3272,2374,6252,1876,853
3273,3227,3536,3622,3219
3275,971,496,1932,876
3296,1746,3622,6020,6538
3297,586,2245,200,638
3305,875,3316,1749,5667
3307,7695,3203,5991,876
3316,3305,985,3740,5618
3322,1665,7689,1024,8780
3325,2083,3421,2855,5667
3349,76,1545,5560,7236
3351,6003,3470,3316,3373
3356,8380,3550,3373,8816
3358,759,1545,508,5647
3364,3516,3276,3410,9914
3373,5708,902,3470,3550
3393,5647,961,8718,3298
3399,5615,5691,885,961
3401,1633,3316,3729,5618
3408,6542,5702,3478,3809
3413,6059,8456,4855,5982
3421,3417,3325,528,6850
3432,6232,3408,2083,3493
3448,3233,9554,6279,6712
3476,3629,5966,5967,6478
3478,6395,6370,5702,3408
3486,3373,5708,3470,7332
3489,5692,5668,5691,5732
3494,3770,9684,3510,9284
3504,3214,3205,5973,6058
3505,6067,2374,5667,3272
3510,6500,9284,3770,9684
3511,813,3408,3410,5961
3514,3438,7078,5967,3560
3515,62,503,7069,1746
3516,3364,6623,3729,3401
3519,7470,3340,5654,5560
3525,3668,3495,5619,5967
3527,3490,239,3346,8718
3536,3696,8020,5777,6555
3546,3507,3205,3729,5996
3550,3470,3373,3356,7332
3552,6853,2254,229,6108
3566,3215,712,486,585
3599,2498,1687,5712,985
3618,312,581,3338,3372
3620,3215,3566,3229,596
3622,6020,3219,3227,5755
3626,528,5674,2374,5667
3629,5967,5966,3476,5638
3652,6067,8351,853,1441
3668,6051,5987,3525,5725
3670,1652,3593,6003,3205
3677,3272,2374,1876,312
3689,935,3417,76,3214
3743,8780,842,1024,6021
3769,1739,645,8204,528
3772,535,2958,3393,971
3809,462,3206,1746,3227
4403,8020,966,4768,3696
4744,8816,3338,5668,766
4782,3214,3504,7280,4793
4793,5668,5732,6067,5650
4805,6396,6251,6332,5714
4932,9912,5702,6332,9690
5056,556,1084,5609,3288
5615,885,6006,5647,961
5620,1711,5725,669,5619
5621,790,6478,6063,775
5635,6555,3536,7280,8020
5638,5966,5967,7990,6001
5646,652,810,3566,638
5647,1545,3298,585,3358
3203,7695,987,5661,3307
5649,5999,8497,5777,3536
5650,5568,5990,9745,5994
5654,1932,1545,6281,3358
5658,5666,6252,2374,3272
5659,7281,885,5615,8780
5667,2374,1876,3626,2855
5668,5732,3489,6058,5691
5672,1785,1545,5691,5990
5673,3272,6252,6293,6859
5674,6062,3626,2374,3219
5676,2057,3344,5715,7701
5682,553,558,695,6857
5689,3255,853,6067,9745
5691,5990,3489,5668,6058
5692,3489,1633,6058,5732
5694,8476,5673,6017,3272
5707,5650,5702,3334,9554
5714,4805,7695,503,1032
5727,8456,8497,5746,5649
5728,6623,6009,9914,3729
5732,9745,5568,5668,6280
5745,7990,902,6066,3373
5746,6069,8497,9558,9359
5755,3622,3255,6020,3206
5757,6127,554,7695,8020
5769,1304,6477,484,5702
5777,6555,3536,8020,5649
5789,496,1785,4764,8204
5810,7081,8476,1707,5976
1776,7768,618,5543,6818
5959,4744,3279,8816,3372
5961,3511,9914,6623,6013
5965,1017,5777,6555,3696
5966,5638,5967,3629,6061
5967,5638,3629,5966,5982
5970,3668,7990,5638,6394
5976,6996,6377,6293,7690
5982,8456,6001,5967,6059
5987,5708,902,3668,7990
5990,5994,1545,5650,5568
5991,1785,3233,3334,10290
5994,5990,5650,5568,2509
5996,4768,3696,5635,1785
5999,5649,5650,7280,5777
6001,3533,743,5982,5967
6003,3351,3550,3470,3373
6006,6163,5615,3339,885
6008,5619,3495,669,3438
6009,5728,6623,5650,9914
6013,9914,3729,5618,985
6018,9682,1750,6308,6857
6020,3622,5755,342,3296
6061,10172,3256,5966,5638
6066,6535,5745,10172,5638
6067,3652,3505,853,5689
6069,6492,7695,9492,5746
6111,554,5757,3230,593
6127,8020,6555,3696,5757
6128,6395,6279,6332,5736
6233,8089,7134,534,7187
6251,4932,5702,6238,6370
6279,6395,6492,6128,5736
6280,8351,6067,5732,9499
6293,5666,6252,6377,6859
6332,5736,6396,9912,9690
6335,5689,9745,5732,6280
6370,6395,6251,5702,3493
6394,3668,7990,6066,5987
6401,5682,3696,553,695
6405,7081,10174,9833,3272
6478,1032,62,593,5714
6486,9415,10036,10126,6279
6489,2374,5658,6293,3272
6535,6066,8235,5745,5982
3422,6049,534,3346,486
6555,5635,5777,3696,8020
6601,5736,695,6857,9746
6623,5728,6067,6280,8222
6712,9682,3448,1750,9558
6734,1750,6891,3233,1760
6762,6857,1746,1750,592
1250,647,2099,942,555
2371,838,3310,6854,618
647,1250,6854,838,2099
838,6854,2371,618,647
755,3477,986,1109,501
6854,838,618,1776,3310
522,464,734,8720,3228
618,1776,5543,6055,750
998,6026,3530,8026,3621
3293,6019,3346,2254,239
6818,7768,750,2517,7322
750,7698,488,6818,3390
7322,7768,6055,8026,3635
7696,3309,3477,8865,7700
7768,7322,6818,1776,6055
8026,7322,6026,6818,4773
8865,3309,3310,7696,6026
531,1109,3228,3309,3310
843,4773,5956,2517,2335
6026,3530,5543,986,998
9301,5595,986,464,1109
6055,7322,7768,3635,6818
314,5733,750,5956,2335
468,606,3211,5735,6482
594,65,468,5555,5611
3621,6894,7700,986,3530
3635,2517,7322,7768,675
5220,5543,7698,6026,750
5543,6026,7768,5220,6681
7698,101,750,3749,2549
8720,5556,8150,2335,6894
9040,2335,8720,7083,3621
986,3277,482,5611,672
2517,2335,675,3635,5733
5786,3795,7490,5556,8300
7700,501,3278,6894,9738
501,6894,7700,1524,672
2335,5733,8720,2517,9040
2662,5556,8300,7490,8934
4105,1109,5595,464,734
5556,8720,2662,7490,5786
5648,508,6027,6007,3652
6681,3277,6691,5543,482
7752,5543,6552,5611,7700
8384,5735,5800,7700,5980
8941,6853,4768,3475,5956
482,986,3277,672,5611
488,535,8934,7420,646
535,488,5556,3772,8291
762,500,3574,790,8720
5555,5735,822,2057,9738
5735,8384,5555,7052,5800
6482,9738,65,9339,3211
6691,2254,5956,5733,3293
7490,8934,8300,5786,5556
8327,8719,6630,3300,5247
9738,2057,5786,7700,9339
65,3211,6482,468,5611
87,5560,1726,6021,3347
318,1524,822,8300,5611
556,9284,6500,3510,5609
606,468,3211,5735,656
620,672,822,5611,3795
757,6893,672,3513,6630
2203,6049,3293,6019,3425
2498,332,3599,1822,8961
3277,986,672,482,3530
5595,1109,3223,6019,3293
6042,8816,766,7699,6047
3278,757,6894,7700,5786
6851,76,6080,7236,712
6853,8941,3422,6122,5956
6894,672,5611,3278,501
8150,8720,6456,6063,6756
8864,6122,885,5615,3347
8992,488,500,775,2203
9680,6630,757,1726,5654
332,681,6080,2498,643
484,822,656,592,6477
672,6894,757,6893,3513
675,2517,2335,6345,3635
775,6523,753,7420,6063
782,652,6157,8089,1760
1653,2163,1123,9679,585
1654,9678,528,532,7699
1801,9678,7603,8816,842
1822,2498,8961,1024,332
2163,585,486,3519,9734
5247,7420,971,9734,6630
6345,675,500,8992,488
6615,7931,200,508,9677
7083,6021,3347,772,8718
7723,3412,6122,7083,8864
8239,558,695,3428,5221
8300,5221,553,8934,7490
9679,6049,5996,6233,579
76,3349,7236,712,6851
239,3293,3346,7166,3412
343,3291,605,5553,6108
500,3445,762,3574,6063
534,3393,681,5647,3422
558,8239,503,695,592
579,586,6433,708,5996
593,62,7420,753,807
605,3291,152,3293,343
652,782,3389,1760,2266
769,1123,5963,3215,7236
770,813,822,3410,484
772,6021,3346,8718,7083
804,3316,3740,4345,1687
822,484,2057,592,656
842,3743,6021,7083,1801
844,646,488,318,775
966,3696,4403,4768,8020
985,8222,3316,5618,7689
1017,3211,5965,1014,4768
1683,847,7753,1298,5658
1726,8718,6019,6021,9680
1791,3425,2517,2379,7768
2254,229,6108,3293,6691
2328,5560,8719,7236,6122
3696,3536,6555,4768,5777
1785,496,876,603,1545
6122,7134,3347,7187,6108
6249,6326,7603,200,7699
6441,8204,5789,9681,586
6630,6893,757,9680,9734
6893,757,3513,6630,672
7052,5735,5555,822,4422
7187,3339,885,5615,6006
7236,5704,76,2383,712
7603,6249,200,9678,6615
7699,8816,6326,7689,6249
8291,535,6456,488,5556
8323,3741,3560,669,9739
8716,5975,1652,5708,3486
8934,7490,8300,6456,5221
8961,3297,7218,332,2498
9339,2057,5676,5800,3460
9524,6456,2057,8934,5736
9733,1749,6017,8476,8222
9734,3334,7470,6019,757
204,5609,9284,6500,1288
229,2254,1828,2958,6108
462,1746,3809,1675,876
508,5648,2509,6027,1545
528,6850,1739,3626,1654
533,4403,3696,5549,3229
553,8300,5682,695,558
585,5647,3566,3298,486
586,2245,200,6080,7931
592,1746,6762,7069,2383
645,8706,532,1739,6062
646,488,844,239,3276
681,638,6080,3393,8780
712,1545,6281,3566,1785
753,62,596,486,3515
766,8816,7690,581,6047
790,6456,6063,5621,5661
807,641,753,593,62
813,3511,3410,770,3260
839,462,876,1746,1675
847,7753,1683,1298,5658
885,5615,7187,9512,6006
935,3689,579,8706,2245
1014,1017,3445,5676,3479
1024,1665,3322,8780,6485
1032,7695,5736,7069,5714
1042,3696,6555,5996,5635
1123,769,813,3410,3223
1652,8716,5975,3507,5708
1665,1024,3322,8780,6080
1687,6048,1665,804,6851
1719,3214,7280,5973,9745
1740,3293,6691,482,6108
1746,462,3296,592,6762
1749,9733,8222,3305,6017
1760,603,10290,2509,9957
2245,586,200,6249,6326
2379,343,3635,605,3291
3729,9914,6013,5728,5584
4381,3346,8718,486,7693
4422,6477,656,3294,6281
5221,8300,553,8239,6382
5553,6108,343,5560,2328
5560,3347,2328,7236,6021
5568,9745,5650,9685,2509
5619,9739,3495,669,3673
6047,766,8816,3372,3488
6048,1687,1749,5712,9678
6062,5674,532,5666,1739
6063,3479,7278,5651,6456
6157,5584,6163,603,8089
6274,3229,739,3515,592
6382,6456,6857,7695,7420
6456,6382,8934,9524,6063
6523,7420,775,5661,6063
6859,2374,6293,3272,5666
7069,3263,592,462,3493
7078,4403,3256,8020,3514
7134,6122,8864,1823,6108
7218,6249,7603,2245,5545
7332,3470,3373,3550,6615
7382,7332,3470,3373,1024
7420,6523,5661,5247,6382
7470,9681,5704,9734,3519
7690,766,8816,581,312
7693,6893,6281,757,5654
8021,9332,8868,5702,9912
8089,6163,7281,6157,6006
8476,5694,6377,6017,10174
8706,645,6521,5789,508
8717,6273,3581,1749,9733
8718,3346,4381,3393,5647
8780,6080,5659,5647,461
9453,1304,484,1053,822
9512,8214,5584,9691,885
9677,6615,1545,759,3207
9678,1654,6249,7689,8816
9685,5568,8351,9745,9499
9691,5584,9512,9745,5568
9739,5619,3673,669,3549
9833,10174,6252,10091,6377
9914,3729,6013,3334,5728
62,3515,753,596,876
111,6521,6850,6293,6996
200,7931,586,6249,2245
342,4764,508,6020,9957
461,8780,5674,2509,3334
486,753,3566,3215,596
489,486,3566,633,3215
496,1785,3334,876,1932
503,3515,558,62,7069
532,759,3358,6062,508
554,5757,6111,6127,6478
574,3424,4422,6477,6051
581,8816,312,766,7690
596,753,1932,62,486
603,1760,2509,1785,3219
633,3275,496,3215,486
638,681,3298,1828,8089
641,807,951,3203,6104
643,332,681,343,3743
669,5619,9739,3741,6008
688,592,1932,3334,971
697,633,7236,76,712
708,579,3273,1739,853
743,6001,3533,5982,5967
759,3358,508,532,7689
835,1760,9957,980,3515
853,5689,6007,6067,3652
875,3305,3626,2374,3372
876,1785,1746,496,462
887,508,3227,1633,853
902,7990,5708,3373,5745
934,1739,6007,5648,3652
951,1760,9957,3515,1750
971,3275,1932,6104,496
987,3203,3428,5661,5221
1006,1823,7281,5659,7187
1053,6542,6251,1304,3408
1084,553,5682,6010,770
1304,5769,9912,6238,6601
1441,3652,6027,6067,853
1545,2509,712,5647,1785
1675,462,3809,3206,1746
1707,1071,5986,875,7690
1711,5620,3256,5619,5725
1725,6252,3626,6859,2374
1739,934,6850,853,6067
1750,6734,6857,6762,10290
6500,9284,3510,5609,6239
1823,1006,1828,7134,3412
1828,2958,3393,638,3298
2266,592,1746,9957,652
2383,592,462,1746,3275
2958,6108,1828,688,6837
3389,6027,1760,4764,887
3428,8239,558,695,553
3288,5056,1288,5609,6500
4764,6027,342,1746,3206
5043,3339,6006,5647,2509
5545,8719,586,645,6080
5549,3809,462,496,1675
5584,9691,9512,6163,6157
5956,5733,3293,2335,6691
6027,3206,4764,5648,508
6049,966,4768,5996,1828
6051,3668,7990,5708,902
6080,8780,586,1545,3358
6104,7278,1932,971,3275
6108,2958,2254,6122,3291
6163,8089,6006,5584,6157
6252,5666,7376,3272,6293
6273,8717,5666,7699,8816
6326,6249,7699,5666,200
6377,6293,6252,5976,10174
6418,8040,3652,9681,6252
6477,5769,4422,6542,484
6485,3340,1545,7470,3519
6492,9492,7695,6279,10036
5609,6500,9284,6112,556
6521,111,6850,645,6293
6538,9681,5991,3296,1785
6542,7069,3263,3493,3408
6756,7166,8150,6456,239
6837,971,5584,9512,1760
6841,8020,3230,4403,5635
6850,528,1739,5666,2374
6857,6762,1750,6601,695
6891,3233,6734,3622,9745
6923,1707,3581,9733,6017
6947,7701,3263,6601,9746
6996,5976,312,7690,8816
